text,label_class,label,illness,area,hospital,doctor,category
老年人原发性骨髓纤维化如何体检,检查,0,原发性骨髓纤维化,nall,nall,nall,nall
心脏瓣膜病要做什么化验治疗吗,检查,0,心脏瓣膜病,nall,nall,nall,nall
问一下多肌腱末端病化验什么啊,检查,0,多肌腱末端病,nall,nall,nall,nall
问一下急性淋巴细胞白血病需要做什么检查,检查,0,急性淋巴细胞白血病,nall,nall,nall,nall
冒昧问一下乳突炎如何体检,检查,0,乳突炎,nall,nall,nall,nall
低血容量性休克要做什么化验治疗吗,检查,0,低血容量性休克,nall,nall,nall,nall
打扰问一下弓形体病如何体检,检查,0,弓形体病,nall,nall,nall,nall
我想问一下幼年型类风湿性关节炎做啥体检呢？,检查,0,类风湿性关节炎,nall,nall,nall,nall
胸部疼痛应做哪些检查,检查,0,胸部疼痛,nall,nall,nall,nall
脑静脉畸形如之一何体检？,检查,0,脑静脉畸形,nall,nall,nall,nall
男性不育要做什么常规检查,检查,0,男性不育,nall,nall,nall,nall
冒昧× 问一下颅内黑色素瘤要做什么化验治疗吗,检查,0,颅内黑色素瘤,nall,nall,nall,nall
打扰问一下恶性萎缩性丘疹病如何啪达体检,检查,0,恶性萎缩性丘疹病,nall,nall,nall,nall
打扰问一下乳腺肿瘤如何体检？,检查,0,乳腺肿瘤,nall,nall,nall,nall
打扰问一下遗传性抗凝血酶Ⅲ缺乏症需要做什么检查,检查,0,遗传性抗凝血酶Ⅲ缺乏症,nall,nall,nall,nall
卡氏肺囊虫肺炎果真要检查啥项目？,检查,0,卡氏肺囊虫肺炎,nall,nall,nall,nall
请问＞λ慢性肺炎需要做什么检查,检查,0,慢性肺炎,nall,nall,nall,nall
小儿白血病初期血常规怎么检查,检查,0,白血病,nall,nall,nall,nall
间接喉镜能查出癌变么,检查,0,nall,nall,nall,nall,nall
打扰问一下副溶血孤菌肠炎做啥体检呢？,检查,0,副溶血孤菌肠炎,nall,nall,nall,nall
我想问一下腹股沟直疝（疝气）需要做什么检查,检查,0,腹股沟直疝,nall,nall,nall,nall
请教一下发育不良痣如何除体检？,检查,0,发育不良痣,nall,nall,nall,nall
你好，麻烦问一下腹主动脉动脉瘤破裂化验什么啊,检查,0,腹主动脉动脉瘤破裂,nall,nall,nall,nall
请问乳房疼痛做啥；体检呢？,检查,0,乳房疼痛,nall,nall,nall,nall
请问乙型肝炎抗原血症要检查啥项目？,检查,0,乙型肝炎抗原血症,nall,nall,nall,nall
早期乳腺癌术后复查项目有哪些？,检查,0,乳腺癌,nall,nall,nall,nall
打扰问一下血栓性浅静脉炎要检查啥项目？,检查,0,血栓性浅静脉炎,nall,nall,nall,nall
不孕不育具体需要做什么检查,检查,0,不孕不育,nall,nall,nall,nall
问一下妊娠期肝血肿及破裂需要做什么检查,检查,0,妊娠期肝血肿及破裂,nall,nall,nall,nall
老年人肥胖症需要做什么检查,检查,0,肥胖症,nall,nall,nall,nall
阿米巴肝脓肿如何体检,检查,0,阿米巴肝脓肿,nall,nall,nall,nall
冒昧问一下肠系膜淋巴结结核做啥检查,检查,0,肠系膜淋巴结结核,nall,nall,nall,nall
打扰问一下小儿不对称身材-矮小-性发育异常综合征要检查啥项目？,检查,0,小儿不对称身材-矮小-性发育异常综合征,nall,nall,nall,nall
打扰问一下维斯科特-奥尔德里奇综合征化验什么啊,检查,0,维斯科特-奥尔德里奇综合征,nall,nall,nall,nall
我想问一下胰高血糖素瘤假使如何体检？,检查,0,胰高血糖素瘤,nall,nall,nall,nall
肝癌如何才能检查出来？,检查,0,肝癌,nall,nall,nall,nall
支气管炎化验什么啊,检查,0,支气管炎,nall,nall,nall,nall
请教一下外阴硬化性苔藓如何体检,检查,0,外阴硬化性苔藓,nall,nall,nall,nall
请问外阴佩吉特病做啥体检呢？,检查,0,外阴佩吉特病,nall,nall,nall,nall
请问结肠阿米巴要做什么化验治疗吗,检查,0,结肠阿米巴,nall,nall,nall,nall
我想问一下神经性厌食症设使检查什么,检查,0,神经性厌食症,nall,nall,nall,nall
您好下消做啥体检呢？,检查,0,下消,nall,nall,nall,nall
请问先天性锁骨假关节检查什么,检查,0,先天性锁骨假关节,nall,nall,nall,nall
你好，麻烦问一下佩梅病如何体检？,检查,0,佩梅病,nall,nall,nall,nall
尿精检查什么,检查,0,尿精,nall,nall,nall,nall
您好复发性溃疡化验什么啊,检查,0,复发性溃疡,nall,nall,nall,nall
膝外翻需要做什么要不是检查,检查,0,膝外翻,nall,nall,nall,nall
请问阴道美丽筒线虫病要做什么化验治疗吗,检查,0,阴道美丽筒线虫病,nall,nall,nall,nall
巴特综合征检查什么,检查,0,巴特综合征,nall,nall,nall,nall
您好肿胀要检查啥项目？,检查,0,肿胀,nall,nall,nall,nall
您好耳源性脑脓肿如何体检？,检查,0,耳源性脑脓肿,nall,nall,nall,nall
请教一下嗜酸性粒细胞性膀胱炎做啥体检呢？,检查,0,嗜酸性粒细胞性膀胱炎,nall,nall,nall,nall
请教一下糖尿病肾病做啥体检呢？,检查,0,糖尿病肾病,nall,nall,nall,nall
小儿肺泡性蛋白沉积症检查什么,检查,0,小儿肺泡性蛋白沉积症,nall,nall,nall,nall
阴虚火旺需要做什么检查,检查,0,阴虚火旺,nall,nall,nall,nall
孕妇需要做哪些糖尿病的检查呢？,检查,0,糖尿病,nall,nall,nall,nall
冒昧问一下镰状细胞性肾病要检查啥项目？,检查,0,镰状细胞性肾病,nall,nall,nall,nall
打扰问一下急性失血性贫血要做什么化验治疗吗,检查,0,急性失血性贫血,nall,nall,nall,nall
请教一下泌尿感染检查什么,检查,0,泌尿感染,nall,nall,nall,nall
风湿性舞蹈病化验什么啊,检查,0,风湿性舞蹈病,nall,nall,nall,nall
你好，麻烦问一下胃肠道癌化验什么啊,检查,0,胃肠道癌,nall,nall,nall,nall
有没肝炎要检查什么,检查,0,肝炎,nall,nall,nall,nall
冒昧问一下晕动病化验什么啊,检查,0,晕动病,nall,nall,nall,nall
白血病性咽峡炎做啥检查,检查,0,白血病性咽峡炎,nall,nall,nall,nall
打扰问一下输卵管炎要检查啥项目？,检查,0,输卵管炎,nall,nall,nall,nall
跖骨疲劳性骨折做啥检查,检查,0,跖骨疲劳性骨折,nall,nall,nall,nall
请问面部播散性粟粒状狼疮化验什么啊,检查,0,面部播散性粟粒状狼疮,nall,nall,nall,nall
请问组织细胞吞噬性脂膜炎做啥检查,检查,0,组织细胞吞噬性脂膜炎,nall,nall,nall,nall
问一下腰疝如何体检？,检查,0,腰疝,nall,nall,nall,nall
冒昧问一下胃心综合征如何体检,检查,0,胃心综合征,nall,nall,nall,nall
我想问一下卵巢性不孕检查什么,检查,0,卵巢性不孕,nall,nall,nall,nall
壶腹周围癌要检查啥项目？,检查,0,壶腹周围癌,nall,nall,nall,nall
腹股沟淋巴结炎需要做什么检查,检查,0,腹股沟淋巴结炎,nall,nall,nall,nall
冒昧问一下心功能障碍化验什么啊由,检查,0,心功能障碍,nall,nall,nall,nall
请问美尼尔氏综合症检查什么,检查,0,美尼尔氏综合症,nall,nall,nall,nall
早泄该做什么项目的检查,检查,0,早泄,nall,nall,nall,nall
你好，麻烦问一下囊虫病如何体检？,检查,0,囊虫病,nall,nall,nall,nall
确诊早泄需要做什么具体的检查？,检查,0,早泄,nall,nall,nall,nall
所以想了解一下胆道闭锁是怎么筛查？,检查,0,胆道闭锁,nall,nall,nall,nall
你好，麻烦问一下脊髓分裂症做啥检查,检查,0,脊髓分裂症,nall,nall,nall,nall
请教一下黏多糖贮积症Ⅰ型需要做什么检查,检查,0,黏多糖贮积症Ⅰ型,nall,nall,nall,nall
我想问一下多发性颅内血肿需要做什么检查,检查,0,多发性颅内血肿,nall,nall,nall,nall
请问泪液分泌过多做啥体这时检呢？,检查,0,泪液分泌过多,nall,nall,nall,nall
小儿选择性免疫球蛋白G亚类缺陷病要做什么化验治疗吗,检查,0,小儿选择性免疫球蛋白G亚类缺陷病,nall,nall,nall,nall
唐氏综合症怎么做检查,检查,0,唐氏综合症,nall,nall,nall,nall
请教一下滑膜炎如何体检,检查,0,滑膜炎,nall,nall,nall,nall
您好糠秕孢子菌毛囊炎如何体检？,检查,0,糠秕孢子菌毛囊炎,nall,nall,nall,nall
怎么才能知道孩子是不是脑瘫？,定义,1,脑瘫,nall,nall,nall,nall
易激惹是怎么回事？,定义,1,易激惹,nall,nall,nall,nall
颅骨骨膜窦怎么诊断,定义,1,颅骨骨膜窦,nall,nall,nall,nall
妊娠合并偏头痛是什么病,定义,1,妊娠合并偏头痛,nall,nall,nall,nall
怎么判断是否是阑尾炎,定义,1,阑尾炎,nall,nall,nall,nall
儿童神经性抑郁是什么病,定义,1,神经性抑郁,nall,nall,nall,nall
血压188/90属于几级高血压？,定义,1,高血压,nall,nall,nall,nall
蛛网膜出血少是动脉瘤吗？,定义,1,动脉瘤,nall,nall,nall,nall
医生您好！我今天去做B超是左侧卵巢内囊性结构，大小约25?24mm,定义,1,nall,nall,nall,nall,nall
什么是心肌梗死的介入治疗？,定义,1,心肌梗死,nall,nall,nall,nall
验血报告结果为《阴性  是艾滋病的病症吗,定义,1,艾滋病,nall,nall,nall,nall
心肌梗死是什么病？,定义,1,心肌梗死,nall,nall,nall,nall
冒昧问一下能否告知心血不足的意思是什么,定义,1,心血不足,nall,nall,nall,nall
如何快速识别心绞痛？,定义,1,心绞痛,nall,nall,nall,nall
医生你好请问这个是风疹吗？,定义,1,风疹,nall,nall,nall,nall
如何理解吡唑酮类中毒的意思是什么,定义,1,吡唑酮类中毒,nall,nall,nall,nall
老年人自发性气胸是什么病,定义,1,自发性气胸,nall,nall,nall,nall
心前区隐痛是什么病？,定义,1,心前区隐痛,nall,nall,nall,nall
老年人正常压力脑积水是什么病？,定义,1,脑积水,nall,nall,nall,nall
想咨询我这是肠胃炎吗？,定义,1,肠胃炎,nall,nall,nall,nall
我的大表哥好像患有腺性肺癌不知道是不是，请问什么是腺性肺癌？,定义,1,腺性肺癌,nall,nall,nall,nall
自发性血胸是什么病,定义,1,自发性血胸,nall,nall,nall,nall
什么是妊娠高血压？,定义,1,妊娠高血压,nall,nall,nall,nall
冒昧问一下解释一下外阴鳞状上皮细胞增生是啥？,定义,1,外阴鳞状上皮细胞增生,nall,nall,nall,nall
心悸失眠是什么意思,定义,1,心悸失眠,nall,nall,nall,nall
癫痫发作心跳加速，呼吸时间较短时间停等，都严峻伤害女人的身体安康。社会对癫痫的误解与轻视，让病人妄自菲薄、孤僻背叛、郁闷焦躁等心思精力病情的发作。更重要的是癫痫病的遗传基因会影响到女人的婚姻。,定义,1,癫痫,nall,nall,nall,nall
打扰问一下能否介绍一下结胸证介绍,定义,1,结胸证,nall,nall,nall,nall
是不是糖尿病？,定义,1,糖尿病,nall,nall,nall,nall
你好我的左侧大脑发晕，手抓东西没有力，有时拿东西会掉落，腿也是无力，嗓子咽东西的时候咕咚一下，说话的时候特别费劲有点说不出来的样子？舌头发黄？请问这是…………病？,定义,1,大脑发晕,nall,nall,nall,nall
糖尿病有几种类型,定义,1,糖尿病,nall,nall,nall,nall
请问想了解胃损伤的释义,定义,1,胃损伤,nall,nall,nall,nall
心包内出血是怎么回事？,定义,1,心包内出血,nall,nall,nall,nall
头疼时伴恶心是颅内压增高吗？,定义,1,颅内压增高,nall,nall,nall,nall
什么是血管瘤信息,定义,1,血管瘤,nall,nall,nall,nall
可以介绍毛胚细胞瘤的意思是什么,定义,1,毛胚细胞瘤,nall,nall,nall,nall
上厕所肛门有鲜红的血是怎么回事？,定义,1,nall,nall,nall,nall,nall
癫痫病是一类慢性的脑科病情，治疗时间非常漫长而且对病患内心造成的伤害都是非常大的，是以我们必需对癫痫病要有所防范和了解，首先来说一下癫痫病对病患造成哪些伤害,定义,1,癫痫,nall,nall,nall,nall
心包摩擦音是什么病？,定义,1,心包摩擦音,nall,nall,nall,nall
孩子出生之后就看到孩子眼睛和全身有些发黄，于是去医院检查一下医生说是胆道闭锁1型，我想知道什么叫1形胆道闭锁？,定义,1,1形胆道闭锁,nall,nall,nall,nall
新生儿溶血病是什么病？,定义,1,新生儿溶血病,nall,nall,nall,nall
心包缩窄是怎么回事？,定义,1,心包缩窄,nall,nall,nall,nall
请问什么叫宝宝胆道闭锁？,定义,1,胆道闭锁,nall,nall,nall,nall
气管肿瘤是什么病,定义,1,气管肿瘤,nall,nall,nall,nall
我想问一下如何理解脂溢性脱发是啥意思,定义,1,脂溢性脱发,nall,nall,nall,nall
尿道炎的症状是什么？,定义,1,尿道炎,nall,nall,nall,nall
怎么判断zhe是不是尿路感染,定义,1,尿路感染,nall,nall,nall,nall
变异性哮喘是什么疾病?,定义,1,变异性哮喘,nall,nall,nall,nall
多发性脑梗塞是怎么回事？,定义,1,多发性脑梗塞,nall,nall,nall,nall
心悸症是心脏病吗？,定义,1,心悸,nall,nall,nall,nall
打扰问一下想了解颅内静脉血栓形成是啥？,定义,1,颅内静脉血栓形成,nall,nall,nall,nall
如何分析腋下淋巴结肿大,定义,1,腋下淋巴结肿大,nall,nall,nall,nall
小孩大便出血是怎么回事,定义,1,大便出血,nall,nall,nall,nall
如何指导心绞痛患者使用硝酸甘油,定义,1,心绞痛,nall,nall,nall,nall
可以问一下中青年脑梗死是啥？,定义,1,脑梗死,nall,nall,nall,nall
什么是变异性哮喘,定义,1,变异性哮喘,nall,nall,nall,nall
想咨询口臭是肝火旺吗？,定义,1,肝火旺,nall,nall,nall,nall
支气管扩张的特点是什么?,定义,1,支气管扩张,nall,nall,nall,nall
我想问一下可以介绍阳虚呜呼是什么意思？,定义,1,阳虚,nall,nall,nall,nall
你好，麻烦问一下解释一下热带痉挛性轻截瘫有什么定义？,定义,1,热带痉挛性轻截瘫,nall,nall,nall,nall
心包填塞是什么病？,定义,1,心包填塞,nall,nall,nall,nall
什么是心度高血压？,定义,1,心度高血压,nall,nall,nall,nall
在感觉不到粉尘的环境工作6个月会不会得尘肺病,定义,1,尘肺病,nall,nall,nall,nall
舌苔厚，大便干燥,定义,1,舌苔厚,nall,nall,nall,nall
心包缩窄是什么病？,定义,1,心包缩窄,nall,nall,nall,nall
您好如何理解脑胶质瘤定义的意思,定义,1,脑胶质瘤,nall,nall,nall,nall
我的儿子是白血病吗？,定义,1,白血病,nall,nall,nall,nall
焦虑症如何定义,定义,1,焦虑症,nall,nall,nall,nall
高血压分几个等级？,定义,1,高血压,nall,nall,nall,nall
冒昧问一下能否告知食管炎的释义,定义,1,食管炎,nall,nall,nall,nall
尖锐湿疣能治好吗?小阴唇内侧肉粒，无性生活史，可能是尖锐湿疣吗,定义,1,尖锐湿疣,nall,nall,nall,nall
什么是乙状结肠炎？,定义,1,乙状结肠炎,nall,nall,nall,nall
右心发育不良综合征是什么病,定义,1,右心发育不良综合征,nall,nall,nall,nall
打扰问一下解释一下皮肤念珠菌病解释,定义,1,皮肤念珠菌病,nall,nall,nall,nall
脑疝是一种什么病？,定义,1,脑疝,nall,nall,nall,nall
克罗恩疾病是什么类型的疾病？,定义,1,克罗恩疾病,nall,nall,nall,nall
什么是脑梗死,定义,1,脑梗死,nall,nall,nall,nall
窦性期前收缩是什么病,定义,1,窦性期前收缩,nall,nall,nall,nall
解释一下流感嗜血杆菌脑膜炎是啥意思,定义,1,流感嗜血杆菌脑膜炎,nall,nall,nall,nall
癫痫的病情病情症状表现是哪些癫痫发病率较高，对人们的身体伤害非常大。专家学者医师表示，癫痫是由许多种病因的引起大脑神经群阵发性异常放电所致的发作性运动、感觉、意识、精神、植物神经功能异常的一类病情。癫痫是一类严重摧残人类健康的顽固顽固疾病，须要我们主动的预防,定义,1,癫痫,nall,nall,nall,nall
心肌梗塞并发心室间隔穿破是什么病,定义,1,心肌梗塞并发心室间隔穿破,nall,nall,nall,nall
左胸疼痛是什么病,定义,1,左胸疼痛,nall,nall,nall,nall
先天性膈疝是什么病,定义,1,先天性膈疝,nall,nall,nall,nall
病毒性心包炎是什么病,定义,1,病毒性心包炎,nall,nall,nall,nall
请问月经推迟对排卵期有影响吗？,定义,1,月经推迟,nall,nall,nall,nall
你好.做CT检查又上肺有阴影，是肺结核吗？,定义,1,肺结核,nall,nall,nall,nall
我屁眼旁边长了一个疮，是什么来的，有照片,定义,1,疮,nall,nall,nall,nall
